212.17.24.101:1080
5.189.229.42:1080
109.72.225.83:9100
95.213.154.54:31337


184.178.172.13:15311
174.75.211.222:4145
98.162.25.4:31654
98.162.96.52:4145
72.210.252.137:4145
184.178.172.23:4145
72.221.172.203:4145
184.178.172.28:15294
174.77.111.197:4145
72.221.164.34:60671
98.170.57.249:4145
184.181.217.213:4145
184.178.172.18:15280
184.178.172.14:4145
98.162.96.41:4145
72.221.232.152:4145
98.162.25.7:31653
72.210.208.101:4145
98.170.57.231:4145
184.178.172.11:4145
98.162.25.16:4145
70.166.167.55:57745
98.188.47.132:4145
184.178.172.17:4145
24.249.199.4:4145
72.195.34.58:4145
72.206.181.123:4145
72.206.181.103:4145
98.175.31.195:4145
72.195.34.59:4145
98.178.72.21:10919
72.206.181.97:64943
72.195.114.169:4145
184.181.217.194:4145
98.162.25.29:31679

198.98.52.229:1080
173.208.197.250:9050
23.236.70.14:8888
23.236.70.118:8888
43.250.172.111:8888
103.68.194.55:8888
68.71.249.153:48606
67.201.33.9:25280
51.195.102.121:10084
174.64.199.79:4145
174.64.199.82:4145
82.127.178.151:10001
72.195.34.41:4145
184.178.172.5:15303
72.195.34.35:27360
184.181.217.201:4145
72.217.216.239:4145
72.210.252.134:46164
98.162.25.23:4145
72.195.34.60:27391
70.166.167.38:57728
72.221.171.135:4145
184.181.217.206:4145
184.181.217.220:4145
72.221.232.155:4145
184.178.172.26:4145
98.188.47.150:4145
72.195.114.184:4145
174.77.111.196:4145
184.178.172.3:4145
184.181.217.210:4145
174.77.111.198:49547
24.249.199.12:4145
184.178.172.25:15291
72.195.34.42:4145

62.113.115.94:16072	SOCKS5	Lvl2	
Russia country logo Russia	Unknown		43s
91.218.101.239:1080	SOCKS5	Lvl2	
Russia country logo Russia	Lys'va		46s
178.238.25.174:1337	SOCKS5	Lvl2	
Russia country logo Russia	St Petersburg		48s
185.141.233.209:22475	SOCKS5	Lvl2	
Russia country logo Russia	Unknown		52s
176.99.2.43:1080	SOCKS5	Lvl2	
Russia country logo Russia	Unknown		57s
62.84.122.201:9999	SOCKS5	Lvl2	
Russia country logo Russia	Dubna		1m
195.2.71.201:16072	SOCKS5	Lvl2	
Russia country logo Russia	Unknown		1m
178.154.228.16:9050	SOCKS5	Lvl2	
Russia country logo Russia	Unknown		3m
109.196.140.198:1080	SOCKS5	Lvl2	
Russia country logo Russia	Chaykovskiy		9m
62.109.31.192:20000	SOCKS5	Lvl2	
Russia country logo Russia	Unknown		10m
78.138.174.230:1080	SOCKS5	Lvl2	
Russia country logo Russia	Yelabuga		11m
212.17.24.101:1080	SOCKS5	Lvl2	
Russia country logo Russia	Novosibirsk		13m
91.107.1.17:1080	SOCKS5	Lvl2	
Russia country logo Russia	Zhukovskiy		14m
212.103.125.48:1080	SOCKS5	Lvl2	
